t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,60187643.5154267,8.38387240065456e-07,0.0434066480754964,-0.00106482865469175,135.624584275036,-0.000873684180155215,-4.61616514221455e-06
50,41717404.0040606,NaN,NaN,NaN,NaN,NaN,NaN
100,30206515.4216545,NaN,NaN,NaN,NaN,NaN,NaN
150,22283128.668604,NaN,NaN,NaN,NaN,NaN,NaN
200,12883360.2383495,NaN,NaN,NaN,NaN,NaN,NaN
300,1633666.45744721,NaN,NaN,0.0327832829590743,NaN,NaN,NaN
350,6534335.07173839,NaN,NaN,NaN,155.336727750597,NaN,1.13308567172685e-05
400,4958692.78789714,NaN,0.0123350591106187,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,0.0132649311404806,NaN
500,3029028.09894208,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,0.00012355321935048,NaN,NaN,NaN,NaN,NaN
600,1448230.16489575,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,0.014564580518125,NaN,NaN,NaN
700,-587029.981539894,NaN,NaN,NaN,146.127417707734,NaN,NaN
750,NaN,NaN,0.0173085711115052,NaN,NaN,NaN,3.39520539425389e-05
850,1976494.20789748,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,0.0143906059596956,NaN
1000,2200860.9237107,1.09110346213674e-05,0.0293402170519434,0.00316084423402325,137.147352841371,NaN,3.45005999468222e-05
1500,NaN,NaN,0.0371254427933796,0.000681646291726745,160.008403185416,0.0137715182097101,5.68660640438537e-05
2000,NaN,2.25439361746925e-06,0.0290234893294922,0.000709855650867711,137.578169901771,0.0122631173659419,5.99453019877902e-05
2500,NaN,6.17869337566693e-06,0.0404559056564405,0.00179851991841437,173.952365272651,0.0103365799912515,6.54726554594384e-05
3000,NaN,NaN,0.0213974577004517,0.000356883653082022,136.293285513402,0.00781326187626202,NaN
3500,NaN,2.94533136482952e-06,NaN,0.00069485166680523,NaN,NaN,4.75630432307408e-05
4000,NaN,NaN,0.0371314448053453,NaN,163.844241891697,0.00505820118715747,3.80666904647695e-05
4500,NaN,NaN,0.041104959961675,0.000573734849611485,NaN,NaN,NaN
5000,NaN,5.19724187175839e-06,NaN,NaN,104.393792136713,0.00460651153006188,3.78413333263919e-05
5500,NaN,NaN,0.0422839218304297,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,134.830238913549,0.00426447792849781,2.791613072362e-05
6500,NaN,NaN,0.0406895204760498,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.0052493138631967,9.93559445072349e-06
7500,NaN,NaN,NaN,NaN,149.328573642986,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00196470756587391,8.26557868983439e-06
