t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,58177187.8913192,-1.64107170756478e-05,0.0394398578424923,-0.00063637603042141,131.308525930423,-0.000632238110279719,-7.32015328092519e-06
80,44976747.4334543,NaN,NaN,NaN,NaN,NaN,NaN
150,35772081.8634789,NaN,NaN,NaN,NaN,NaN,NaN
250,23810891.9812366,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,0.000327736667401794,NaN,0.0330950343316191,110.325838939155,NaN,NaN
350,16548374.328676,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,0.0122575316212316,NaN,NaN,NaN,1.74732511942631e-05
450,13531230.8167775,NaN,NaN,NaN,NaN,0.00915274304740399,NaN
550,9906249.54156255,NaN,NaN,NaN,NaN,NaN,NaN
650,5809649.74552179,0.000154858765640136,NaN,0.0201594088245699,126.530602763874,NaN,NaN
800,3346826.66578914,NaN,NaN,NaN,NaN,NaN,3.13623102691597e-05
850,NaN,NaN,0.0195281456973038,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,0.0165189563255966,NaN
950,NaN,7.26399871004394e-05,NaN,0.011898816482445,132.787571195275,NaN,NaN
1000,-500044.008655696,NaN,NaN,NaN,NaN,NaN,4.71696299493619e-05
1500,1131591.9374425,2.46237257564011e-05,0.0289291191615686,0.00290789525509807,156.304861643832,0.0155756873263918,6.41897933926237e-05
2000,NaN,1.63779508307533e-06,0.0267932110552471,0.000481907745002027,155.093509662851,0.0153305070623502,6.86295608406661e-05
2500,NaN,NaN,0.029549483322488,0.000897838867243499,134.175298415827,0.0131429580402685,7.03281459743259e-05
3000,NaN,-8.96482143544125e-07,0.0411788641142338,NaN,NaN,0.0118153403697172,NaN
3500,NaN,-4.60468514034047e-06,0.0319786585634179,0.00145859459545687,124.155407532749,NaN,5.547984688985e-05
4000,NaN,-4.85175900009253e-06,NaN,-0.00128674636297794,151.43938907273,0.00878778678865449,4.15280803401263e-05
4500,NaN,NaN,0.0388969295346291,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,0.00213692677152673,142.633395085572,0.00826971416813696,3.30421434984093e-05
5500,NaN,NaN,0.0351095091210069,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,130.103315758852,0.00514926094252857,2.13312007207277e-05
6500,NaN,NaN,0.0367699908782722,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,88.4731057720793,0.00299983537375325,2.07497996163606e-05
8000,NaN,NaN,0.0420587478904817,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00311358765189665,2.27833403162532e-05
