t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,59260482.6004774,4.374253233266e-06,0.0441397963343542,0.000435579925512961,143.940610572579,0.000340612481328668,1.55344955784643e-06
75,NaN,NaN,NaN,NaN,135.523425800939,NaN,NaN
150,40280241.5722878,NaN,NaN,NaN,152.034605654664,NaN,NaN
250,38338565.1106088,NaN,NaN,NaN,148.265622530075,NaN,NaN
300,NaN,NaN,NaN,NaN,109.973736908354,NaN,NaN
350,NaN,0.000157912621661721,NaN,NaN,NaN,NaN,NaN
400,22942092.4358376,NaN,NaN,NaN,NaN,NaN,2.48637124885364e-06
450,NaN,NaN,0.039774907114366,0.0134846633834326,132.481530576133,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.00446690480244546,NaN
550,21208839.6032005,NaN,NaN,NaN,168.326519845018,NaN,NaN
700,NaN,NaN,NaN,NaN,138.099410434141,NaN,NaN
750,14176444.666621,7.7527026006863e-05,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,1.16217350155172e-05
850,NaN,NaN,NaN,NaN,120.01723644401,NaN,NaN
900,NaN,NaN,0.0341492427540194,NaN,NaN,NaN,NaN
950,6931887.95730682,NaN,NaN,0.00634468631750057,NaN,NaN,NaN
1000,8404857.65326171,4.19510761334826e-05,NaN,NaN,131.63025081357,0.00806976068932502,1.44002889914011e-05
1500,2993244.73386452,1.70157726303395e-05,0.0434180292685883,0.00266710104338361,160.325166955661,0.00838434905402141,3.06164842750769e-05
2000,1720198.62137969,5.16833854896742e-06,0.03734773457352,0.0011127934784162,NaN,0.00657913236524293,2.7483264389702e-05
2500,3246654.08129558,-9.10749316272053e-07,0.0401949754299706,0.000452009412034453,NaN,0.00686655403844001,3.03657327422428e-05
3000,NaN,NaN,0.0510386121934996,NaN,NaN,NaN,3.03633678299605e-05
3500,NaN,1.02954251659869e-06,NaN,0.000467785952505115,NaN,0.00493549386876683,2.98312146373357e-05
4000,NaN,-1.79517774544749e-07,0.0398780334361165,NaN,NaN,0.00371070100946949,NaN
4500,NaN,NaN,0.0493619224024289,-2.58478102382081e-05,NaN,NaN,2.68165621074517e-05
5000,NaN,-5.62557811243894e-07,NaN,NaN,NaN,0.00376276859471974,NaN
5500,NaN,NaN,0.0454141746984446,0.000591075932022852,NaN,NaN,1.66888061331108e-05
6000,NaN,NaN,NaN,NaN,NaN,0.00300419931078996,NaN
6500,NaN,NaN,NaN,NaN,NaN,NaN,5.61323789591272e-06
7000,NaN,NaN,0.0505766032824936,0.000495517821263028,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.00154285117357035,1.50232182182682e-05
8000,NaN,NaN,0.0373572584242342,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00179102440024801,8.97186344295835e-06
