t,STAT_Obs,pSTAT_Obs,pSTAT_pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT5_Obs
0,0.803816946603307,1.21384306593415e-05,9.89602006401706e-05,0,6.25538826871843e-05,0,7.40517005780836e-05
6,NaN,NaN,NaN,NaN,NaN,NaN,0.0138081475813133
6.5,NaN,NaN,NaN,NaN,NaN,0.0389793016666499,NaN
7.5,0.00411695663407697,0.00472272452731056,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,0.109398442659112,NaN,NaN
10,NaN,NaN,0.43636923529497,0.105834265319899,NaN,NaN,NaN
15,0.0184120171199,0.00639072005260047,NaN,NaN,NaN,0.149678793262776,0.142811901409606
20,NaN,NaN,0.30342453185997,0.101627244433865,0.156019186926345,0.19088504448743,0.205331226219868
25,0.0997701104477697,0.00505791601251064,NaN,NaN,NaN,0.0800688890981548,0.142440573146147
30,NaN,0.00446437869549071,NaN,0.0853381256560063,0.124270831948028,NaN,NaN
35,0.491722570579647,NaN,0.27860308535277,NaN,NaN,0.117058625924461,0.186945031931566
40,0.554660126072181,0.00182943925714496,NaN,0.0350501016165289,0.0726121969838935,NaN,NaN
45,NaN,NaN,0.170240564549747,NaN,NaN,0.0743951954933684,0.0493051033865146
50,NaN,NaN,NaN,NaN,0.0500110871055018,NaN,NaN
55,0.496009064737713,0.000593099279408677,NaN,0.0213995763332923,NaN,0.0374694014034399,0.0578813180230704
60,NaN,NaN,0.0359482697605548,NaN,NaN,NaN,NaN
65,1.03159181493542,0.00028174573846852,NaN,0.0114948057993277,0.0139031161630229,0.0160227695453442,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.0121884965754083
75,NaN,NaN,0.018679201262709,NaN,0.0114759428560191,NaN,NaN
80,0.798306929910568,0.000211072260682079,NaN,0.00365224257400878,NaN,0.00899719545061685,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.00441801517811139
95,NaN,NaN,0.00462369676764782,NaN,0.00195592812912923,0.00293089142329209,NaN
100,0.868318344517768,0.000149152300686402,0.00370259396233048,0.000673522434698768,0.00127495547867155,0.00179745296420105,0.00195818023899863
150,0.846245657207663,NaN,0.00040284450483338,6.75514287770954e-05,0.000305300730683163,NaN,NaN
200,NaN,NaN,0.000309552129609032,NaN,NaN,NaN,NaN
