t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs,Epo_EpoR_i_Obs,dEpo_e_Obs,Compound_1_Obs
0,703.908644180835,188.479022636771,0.159244725676291,1.66224698341456,13.8154283239734,-17.0916258347923
25,NaN,NaN,32.9349220985824,NaN,NaN,NaN
30,NaN,81.9021415367296,NaN,91.8748534464438,36.7065382347093,100.678649560229
35,528.240931156862,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,21.5996927218355,NaN,NaN,NaN
60,NaN,NaN,NaN,113.925243129189,NaN,174.629853128298
65,NaN,69.1256715569897,NaN,NaN,80.169024395626,NaN
70,474.833182460821,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,19.0756885048077,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,246.369603120249
95,NaN,64.8952011721129,NaN,112.953849752357,124.751491824874,NaN
100,403.077607206647,NaN,18.1176999604247,NaN,NaN,232.962917979917
150,346.202012029506,70.9511763131216,15.3801121058906,109.667668879232,204.879646895367,320.040496777961
200,272.537825687713,79.4135007796329,14.9607207836157,97.2198033960063,280.75771489009,417.179770482292
250,212.760902405671,97.7627368726509,12.7997099231818,86.0516367978649,349.459930351025,453.219796349095
300,142.246960979109,105.584140604588,10.1567346497189,78.413564671286,NaN,518.101905125885
350,98.8613632629062,122.905713730254,8.91176259876396,62.4266797244462,473.69061589356,577.616474458584
400,71.5742830860437,NaN,NaN,NaN,508.762757826527,NaN
450,NaN,145.445973699616,4.69932768391234,40.3270484701194,NaN,642.702589156372
500,40.1005006610366,158.75700186929,3.84819803493906,27.1530543841482,578.080829949366,NaN
550,NaN,NaN,NaN,NaN,NaN,654.621258574082
600,3.28200285510322,171.582025072579,NaN,16.368127899084,583.979572662772,NaN
650,NaN,NaN,NaN,NaN,NaN,676.768290266225
700,NaN,NaN,NaN,NaN,588.063458750766,NaN
750,-0.799427597329859,181.645307986723,NaN,-1.33303047952595,NaN,NaN
