t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.36345428582278,0.000199034855561728,0.00135504114468951,0.454269158393029,51.5455227781286,0.0370809473010803,0.0332472669727441,0.0385303287037915,0.0460095564362513,0.0384200477946159,0.00113395007488506
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.121135682571563,NaN
9,NaN,NaN,NaN,NaN,105.63721496832,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,32.7220133286262,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,9.99246902655725,NaN,1.24582924083256,NaN,0.00432534367235378
15,0.314997896218429,0.00696564762552221,0.040652048875335,5.17460254294377,NaN,NaN,NaN,24.8302117632427,NaN,3.89987983327748,NaN
20,NaN,NaN,NaN,NaN,59.9351475602285,17.0673141704729,25.5039108882279,NaN,23.7383642472192,NaN,NaN
25,0.00359250616264359,NaN,NaN,0.0700724159940125,NaN,NaN,NaN,NaN,NaN,20.5672036057637,0.594231860337273
30,NaN,1.67887207179092e-05,1.24113965227249e-05,NaN,52.8284280518693,1.43785390357513,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,2.42581740749805,7.69483456035155,13.4891026743707,16.2073226983783,0.860221594519966
40,0.00233558088469159,NaN,NaN,0.00812014657331901,51.475636471387,0.122793880087554,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,1.86408582788227e-05,NaN,NaN,NaN,0.373045809259232,NaN,3.57940779640901,NaN,NaN
50,NaN,3.49573663799761e-05,NaN,NaN,56.5013391644628,NaN,NaN,NaN,NaN,3.57620146159428,0.347144498228378
55,NaN,NaN,NaN,0.0110577233932073,NaN,0.00370250581896925,NaN,0.175466460274788,NaN,NaN,NaN
60,0.00629023089614833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.282296207519205,0.931140703259897,NaN
65,NaN,0.000234233873884882,0.000338403058171506,NaN,46.0575536313366,0.000347171451261834,0.00491851097226196,NaN,NaN,NaN,0.0466541842750395
75,0.0271308264354802,NaN,NaN,0.184943155836034,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,54.4067291703503,NaN,0.0034296717002376,0.00228033849625135,0.0181609868274868,0.0294563100183534,NaN
85,NaN,NaN,0.0032423155655967,NaN,NaN,0.0778064838871269,NaN,NaN,NaN,NaN,0.00203130917234026
90,NaN,0.00126515408183481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1.84140151339949,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0722564168844438,0.00185355425061626,0.00915239645488518,2.23107329013981,66.1950023453736,1.90634266059541,1.25274757005099,0.76651666868359,0.471644908101355,0.235726599364633,0.00490143172664232
150,0.0355444441579943,0.00101490455745349,0.0030025446731954,0.548519808589471,60.4067567232406,0.0215719985343329,0.00912054226303252,0.0123093296174511,0.0456209935603954,NaN,0.00753654378421284
200,NaN,NaN,NaN,0.14075418428906,NaN,NaN,NaN,NaN,NaN,NaN,NaN
