t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00163897701755577,0.0398751061499203,0.00147024029798009
9.5,NaN,0.791587578679199,NaN
10,NaN,NaN,0.00387748290282656
15,0.0141302263352259,NaN,NaN
20,NaN,12.0820007100224,0.221054646965379
25,9.77960216040468e-05,NaN,NaN
30,NaN,6.9386549796588,NaN
35,NaN,NaN,0.394002786114522
40,1.06763175403739e-05,2.64544403107488,NaN
50,NaN,NaN,0.141706769886349
55,1.23092150064898e-05,0.263687401029807,NaN
60,NaN,NaN,0.0364920920845065
70,NaN,0.0266305529017313,NaN
75,6.76524057523631e-05,NaN,NaN
80,NaN,NaN,0.00176889956330175
90,NaN,0.0112393099221361,NaN
95,0.000194648985268826,NaN,0.000157903017938158
100,0.000318578041476826,0.00922944176334099,5.88601573854121e-05
150,0.000801538337720037,NaN,0.000150087034664205
