t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
1300,0.1,0.000215199290302915,0.0362990564865601,0.0325022444905739
1300,0.1,0.000208191639401922,0.0420466440437041,0.0368916624065597
1300,0.5,0.000284893197356381,0.0473009094460218,0.050257520877219
1300,0.5,0.000280294995716546,0.0625863492631223,0.0455658659787021
1300,1,0.000388783107644381,0.0529553615778101,0.0683854040231403
1300,1,0.000296997448401475,0.0675902627505858,0.0595783208146418
1300,2.5,0.000665472423748665,0.201495211343012,0.236658407240514
1300,2.5,0.000749908730050616,0.18081172956581,0.203041639307908
1300,5,0.000866818560772,1.75958443607954,2.81318497216534
1300,5,0.00108445643701052,1.37457101839783,2.66606233861707
1300,10,0.000444270183404224,0.0970380756641765,0.0932336372487597
1300,10,0.000349741764523857,0.106614223163608,0.0941551290473657
1300,25,0.000915842105609825,0.182999696488226,0.636157787191514
1300,25,0.00071008968617168,0.207680528987825,0.705106250200618
1300,50,0.000582539224287954,0.137015894583855,0.153876300701389
1300,50,0.000596696849407079,0.131502845757068,0.152190191114015
1300,100,0.00146228387421867,1.6165903874261,1.3280780204732
1300,100,0.00146841409170434,1.32233887269853,1.77697999976965
1300,500,0.000417699126157917,0.717321515555074,6.32363316683823
1300,500,0.000388510595002128,0.669563530211485,5.81565254045465
