t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00154622597168732,0.122610070155255,0.00145452134836204
9.5,NaN,3.30790878970812,NaN
10,0.0669841644269131,NaN,NaN
15,NaN,NaN,0.22356100936372
20,NaN,49.8359905851955,NaN
25,1.04170470475539e-05,NaN,NaN
30,NaN,41.7002448864697,1.99051737540484
40,1.00882383991793e-05,12.1310454193257,NaN
50,NaN,NaN,0.594670466580275
55,1.0512400146591e-05,1.24924506942775,NaN
65,NaN,NaN,0.0875370082010807
70,1.61505189079556e-05,NaN,NaN
75,NaN,0.121587328405495,NaN
85,NaN,NaN,0.00383067985183101
90,9.27025010873991e-05,NaN,NaN
95,NaN,0.121063752460207,NaN
100,0.000163725152774183,NaN,0.000280927610774547
150,0.000780992473875156,NaN,7.13511031056852e-05
200,NaN,NaN,0.000357497982220519
250,NaN,NaN,0.00109497827286584
300,NaN,NaN,0.00129233078851482
