t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00155516436240702,54.4643004495661,0.0421829192715221,0.00126041700147507
5.5,NaN,NaN,0.0291225625817269,NaN
6,NaN,NaN,NaN,0.00157696940311916
10,NaN,NaN,0.0260653405158369,0.00126676422203355
15,NaN,144.591474554351,0.0187143434442513,NaN
20,0.0805034268211708,NaN,NaN,0.00115527621982365
25,NaN,NaN,0.00486597617839912,0.000723987502327772
30,NaN,NaN,0.00256694649182485,NaN
35,NaN,166.331403231754,0.0011767088978332,0.000238428221609443
40,0.101130665957567,NaN,NaN,NaN
45,NaN,NaN,0.000328234241043238,7.51076174856819e-05
50,NaN,207.074629043335,NaN,NaN
55,NaN,NaN,0.000126559181438729,1.7103684162244e-05
60,0.0696302222771211,NaN,NaN,NaN
65,NaN,NaN,NaN,3.83348270452305e-06
70,NaN,206.398204140259,0.000108836441056034,NaN
80,NaN,NaN,NaN,2.71377828444448e-07
85,0.0765159820058884,NaN,8.6975502936156e-05,NaN
90,NaN,163.306608339589,NaN,NaN
100,0.0712212828054762,167.298411380569,NaN,8.5085724669112e-09
150,0.0527797499080067,141.566355854299,NaN,NaN
200,0.0494231541482416,125.664677099073,NaN,NaN
250,0.0471093595899995,145.185884048898,NaN,NaN
300,0.041249747555398,137.662981175343,NaN,NaN
350,0.0348672798409433,144.162992777685,NaN,NaN
400,NaN,120.696019402168,NaN,NaN
450,0.0251867788879723,NaN,NaN,NaN
