t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00164555335418232,0.0425587005471637,0.00152562666659646
10,NaN,4.15321329958867,NaN
15,0.0490804555850413,NaN,NaN
20,NaN,NaN,0.840478191400457
25,NaN,59.6421143207524,NaN
30,9.39790415234489e-06,NaN,NaN
35,NaN,NaN,1.904818324424
40,NaN,12.6506149946199,NaN
45,8.4633409872659e-06,NaN,NaN
55,NaN,1.1746640770679,0.342379929547861
65,1.27968093106127e-05,NaN,NaN
70,NaN,0.087250938461331,NaN
75,NaN,NaN,0.0190525821314144
85,6.42869118213757e-05,NaN,NaN
95,NaN,0.0106314218299054,0.000705459003373386
100,0.000178739646059895,0.0126127623316775,0.000288800411644257
150,0.000706656524038257,NaN,5.76232805549099e-05
200,NaN,NaN,0.00039727168525072
250,NaN,NaN,0.000945215822594157
300,NaN,NaN,0.0014673386685423
350,NaN,NaN,0.00140644719326168
