t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.331405396562975,0.00151944459953026,0.0410341690693674,0.0347471140994073,0.0422313359472707,0.00159266458580037
9,NaN,NaN,NaN,NaN,0.661908902597324,NaN
9.5,NaN,NaN,NaN,2.43953439001739,NaN,NaN
10,NaN,NaN,18.4065001713361,NaN,NaN,0.00476465067231887
15,0.330925401876579,0.00995373475699599,NaN,NaN,NaN,NaN
20,NaN,NaN,4.29627793927083,11.5715923220332,11.3458536028983,0.159849200220572
25,NaN,0.000159278150258612,NaN,NaN,NaN,NaN
30,0.0040559135338084,NaN,0.382281637599067,4.32999060046507,8.37066315643443,NaN
35,NaN,NaN,NaN,NaN,NaN,0.303160990783387
40,NaN,1.08004413705667e-05,NaN,0.672530260677136,2.13372465252937,NaN
45,0.00631369098673763,NaN,0.0113641333962793,NaN,NaN,0.183489959962323
50,NaN,NaN,NaN,0.136737223340153,0.425660273755752,NaN
60,0.0175533856397753,2.26012616503039e-05,0.000309230114925839,NaN,NaN,0.026495456789872
65,NaN,NaN,NaN,0.0074050377018207,0.0415160855108714,NaN
75,NaN,NaN,9.80847800589834e-06,NaN,NaN,0.00278147444166527
80,0.0651764752102991,0.000127214721968612,NaN,0.000318102875147882,0.010826084772471,NaN
95,NaN,NaN,0.000169264940303683,NaN,NaN,0.000116950225218885
100,0.0963502411135088,0.000356743271352018,NaN,0.000139147704515591,0.0107569577256681,4.950196277995e-05
150,0.203740789279455,0.000609989825796429,NaN,NaN,NaN,0.000129094961330714
200,0.291506626152601,NaN,NaN,NaN,NaN,NaN
250,0.338160109255094,NaN,NaN,NaN,NaN,NaN
