t,input_ruxolitinib,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
24,0,0.000230686708483081,23.0067842182903
24,0,0.000280967765515819,26.3493288421457
24,0,0.000288547992576098,27.7611016293981
24,0,0.000313761341904112,25.6077894543535
24,10,0.000345855588033951,22.9625472765767
24,10,0.000377416106933017,26.4608779761674
24,50,0.00133929621950352,19.3648637126736
24,50,0.00136662635727644,19.7341099123367
24,50,0.00150957932422073,19.7877839580292
24,50,0.00151708678258947,23.7015198997942
24,100,0.00300561332929311,14.7882961860752
24,100,0.0031928967491305,17.1961345088017
24,200,0.00802000243087094,10.1976258897164
24,200,0.00886840556254212,10.7902098463504
24,400,0.011657638799072,3.82481883146615
24,500,0.0159721692842575,3.36863816519873
24,600,0.0109044867327974,2.5104506172792
24,800,0.00998700630814355,1.43550391061134
24,1000,0.00822776149813574,0.858153527661984
24,2000,0.00389058145228248,0.173375991595427
24,2000,0.00398261907308299,0.159112119436459
24,2000,0.00414041598451632,0.159372315070376
24,2000,0.0042614143908743,0.169651145190977
24,5000,0.000950985495603032,0.119973251651022
