t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00162450884207112,55.016841091322,0.0350807437745727,0.0017497752681677
9.5,NaN,68.1046612223168,NaN,NaN
10,NaN,NaN,0.0582075688703717,0.00131870370006161
20,0.00815427760674751,64.2234563521294,0.634506603297571,0.00634753504390206
30,NaN,56.7525540650356,NaN,NaN
35,NaN,NaN,1.26300953132491,0.0513177862722261
40,0.00258205159615649,49.3818141986376,NaN,NaN
45,NaN,NaN,0.730947141515066,0.0377779654774218
55,NaN,51.6743719964602,NaN,NaN
60,0.000646447067104445,NaN,0.0775080475246181,0.0132407343928421
70,NaN,56.183003075806,NaN,NaN
75,NaN,NaN,0.00801148706678642,0.00209769162609821
80,0.00141441981895618,NaN,NaN,NaN
85,NaN,59.2238328055395,NaN,NaN
95,NaN,NaN,0.023751611479665,0.000452251690243937
100,0.00252818100381677,50.2601907169574,0.0449297385300915,0.000872324266207812
150,0.00318804154012217,54.8244302861721,0.13161348675448,0.00718373048185632
200,0.00313348483167834,NaN,NaN,NaN
