t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
0,0.00132187659031227,0.0439823342508326
8,NaN,0.500606808467561
9.5,0.0588178134968817,NaN
15,NaN,12.9510415587685
20,0.00635827900299506,NaN
25,NaN,29.7830420166119
30,1.03853772395309e-05,NaN
35,NaN,15.0428542267678
40,1.37604817484342e-05,NaN
45,NaN,4.14108663247675
55,5.21201010110753e-05,NaN
60,NaN,0.3978297727793
70,0.000642027805527412,0.0648613270516067
85,0.00400563565083413,0.0169274578910678
100,0.010293456860293,0.654922308215408
150,0.00304751184266526,0.0445885799573379
