t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.0013437923912442,0.132223321874008,0.0015967834702265
10,0.071174631465006,0.131472361612558,0.00152001261916452
20,0.0830079500758808,0.120033064838296,NaN
25,NaN,NaN,0.000662976929835518
30,0.0874865909450577,0.104897457999617,NaN
35,NaN,NaN,0.0271406519195825
45,0.000123800219932842,109.568646418549,NaN
50,NaN,NaN,3.74532577072847
60,9.61005855325177e-05,42.6773372597763,NaN
65,NaN,NaN,2.2376924482822
75,8.28018221095126e-05,4.61822292228969,NaN
85,NaN,NaN,0.282755678234124
95,0.000403983484810849,0.220869578723121,NaN
100,0.000844194107771414,0.171494499200486,0.030697382695242
150,NaN,2.01429956795813,0.113949620568627
