t,input_il6,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
30,0.1,0.00179535622562702,0.133427292859366
30,0.1,0.00170709346918996,0.134448030390094
30,0.1,0.00175527489348356,0.13681844344209
30,0.1,0.00169832938478702,0.143896669036338
30,1,0.00337929721667846,0.226678197427141
30,1,0.00254916633583859,0.22056218707324
30,1,0.00310856659136557,0.282189583800571
30,1,0.00259045257969044,0.235495783370103
30,5,0.00359783816229969,3.70375060771454
30,5,0.00381267057435661,4.00684917519261
30,5,0.00427897631043151,3.11298918379815
30,5,0.00432233241210864,3.8153404280426
30,10,9.21350839191834e-06,59.5711495964451
30,10,1.05125992143817e-05,47.4425731447501
30,10,9.32065073776399e-06,43.0720122675288
30,10,1.04111482820019e-05,48.2664515835918
30,50,0.00697623672993088,1.36785238180822
30,50,0.00602583856891259,1.42302525566616
30,50,0.00510325762992366,1.21110152307378
30,50,0.00562306456765465,1.32653871616029
30,100,1.12212063528532e-05,26.4255931182499
30,100,1.05201069190699e-05,29.9907839071173
30,100,1.19826273594806e-05,26.0720629478427
30,100,1.13714239053996e-05,25.7175092111737
30,500,8.7281835233941e-06,118.024164006316
30,500,1.13470468179761e-05,130.416334394113
30,500,9.76361915991961e-06,128.171210711947
30,500,1.23797123047206e-05,107.785923758302
