t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
2600,0.1,0.000229839743631246,0.0264590299137722,0.0239282870751763
2600,0.1,0.00027039382550013,0.0310995690150338,0.0235475248976405
2600,0.5,0.000331504837438787,0.0448452107359711,0.041811270067446
2600,0.5,0.000302477622214435,0.0366639174166346,0.0379518117370873
2600,1,0.000371657324587371,0.0510798489089411,0.0521904969510739
2600,1,0.0003778688256563,0.0507971800792137,0.0497949339076671
2600,2.5,0.00081574886573021,0.149501432668945,0.142854631529075
2600,2.5,0.000762100194012754,0.16359239486387,0.146099249897726
2600,5,0.00106527850661637,0.0048219867358947,0.159960738995357
2600,5,0.0010200300972878,0.00529254009330185,0.135840715223717
2600,10,0.000451317970606505,0.0762592720884794,0.088598177340333
2600,10,0.000418291431219593,0.0847040016477528,0.0927669043834107
2600,25,0.00136115805147298,0.181389582501729,0.19562175744313
2600,25,0.0011827611507575,0.211161159081586,0.2340834577184
2600,50,0.000667737445024626,0.101511318165502,0.116676731431582
2600,50,0.000582833853874307,0.116926717848189,0.118579088647326
2600,100,0.00139886396996057,0.518280350714738,1.06021566776424
2600,100,0.0013876280328483,0.601185811236461,1.12133922112393
2600,500,0.00465229254570399,0.204728601211383,0.0528254009504408
2600,500,0.00501394934774023,0.18644273381884,0.0460132385361349
