t,pJAK1_gp130_Obs,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.000195676825862742,0.489489503849523,0.0394085857635344,0.0279174162775654
9.5,NaN,NaN,0.0357213297820948,NaN
10,0.000191473915634391,0.524594483071405,NaN,NaN
15,NaN,NaN,NaN,0.0472979711118607
20,0.000191308839087753,0.426547076595948,0.0349327940714397,NaN
25,NaN,NaN,NaN,0.0338936909890925
30,NaN,NaN,0.0307755590329912,NaN
35,0.000192035215424788,0.426193183985899,NaN,NaN
40,NaN,NaN,0.0374020932285734,0.0325312537692435
45,NaN,0.456675494989182,NaN,NaN
50,0.00019137411697211,NaN,NaN,NaN
55,NaN,NaN,0.0389647426492909,0.0338181712621706
60,NaN,0.395332561567708,NaN,NaN
65,0.000216679958612774,NaN,NaN,NaN
70,NaN,NaN,0.0386516095427361,NaN
75,NaN,NaN,NaN,0.0313754837962973
80,0.000240202183554018,0.431541150779023,NaN,NaN
85,NaN,NaN,0.0348760222422991,NaN
100,0.000236388557816068,0.421229531181138,0.033473361622462,0.0438680841611729
150,0.000207731430930597,0.439869751384737,0.0288356319805716,0.0377155559401701
