t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00181592041332163,0.050498920273408,0.0016930435949608
9.5,NaN,0.843783251744075,NaN
10,NaN,NaN,0.00466016342898189
15,0.0364192395313706,NaN,NaN
20,NaN,26.06758710591,0.256220122506237
30,NaN,20.2900936031807,NaN
35,1.04606628006592e-05,NaN,0.987580965948339
40,NaN,7.06741863761184,NaN
45,NaN,NaN,0.444528251711775
50,2.01092860260745e-05,NaN,NaN
55,NaN,0.592163555335959,NaN
65,NaN,NaN,0.053662509393456
70,NaN,0.0617706405291091,NaN
75,0.00146626160262679,NaN,NaN
80,NaN,NaN,0.00465347015257069
90,NaN,0.0358447855692629,NaN
100,0.00822597078058842,0.360041788772965,0.00431834181924326
150,0.000102946072267377,0.0396869475017534,0.0081098328978692
