t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
210,0.1,0.000351770229756414,0.00907086489082717,0.00796259555469299
210,0.1,0.000288982745540694,0.00778962961850242,0.0104688800329373
210,0.5,0.000368263327728013,0.0148660040002551,0.0179719633972523
210,0.5,0.000352355489562056,0.0170413413723907,0.0160130340782835
210,1,0.000515302308050317,0.0245117262771749,0.027021089391309
210,1,0.000411658634848546,0.0253166067563804,0.0237130049838578
210,2.5,0.00107188738410849,0.0784237169965491,0.121818552013961
210,2.5,0.0011065181031627,0.0977385235076917,0.101516151130316
210,5,0.00149796041204707,0.0355521483514981,0.315013216118548
210,5,0.00133169680206159,0.0380261004798534,0.312291927178529
210,10,0.000583575952170954,0.0452766620419248,0.0446466152258692
210,10,0.00057555996538425,0.0397084506670173,0.0477782256387527
210,25,0.00166173172318828,0.182659870078208,0.203618391793493
210,25,0.0015008780130701,0.153439363648927,0.208121198399996
210,50,0.000748531350179139,0.0525596362548338,0.0715196837634391
210,50,0.000727673138747512,0.0614432478095937,0.0628193819577155
210,100,0.00179983874753961,0.108515451427438,0.29696922056207
210,100,0.00153189400427394,0.102458734224624,0.336609757029401
210,500,0.00141429727680747,0.0215000804064974,0.538754746095113
210,500,0.00151216813443202,0.0215855209082748,0.566905856501474
