t,input_il6,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
21,0.1,0.000620650757518727,0.105402933663282
21,0.1,0.000681828368789202,0.11635148112963
21,1,0.000838065990064607,0.125324182152784
21,1,0.00116437955326885,0.132122127108848
21,5,0.00253099129870571,0.129122854970065
21,5,0.0030912111163686,0.195030644148386
21,10,0.00436670516596707,0.247617074007482
21,10,0.00469771837425611,0.214073950226315
21,50,0.0182016242715428,3.80366051724511
21,50,0.0191555359437138,3.24773192608231
21,100,0.015864747086274,12.0169079318846
21,100,0.0234377006625234,11.9399695992517
21,500,1.47751586216905e-05,102.0508466085
21,500,1.77469593550524e-05,84.4741144881902
