t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00135320209233349,0.0378411574005959,0.00148914961901753
10,0.0687994460136889,NaN,NaN
15,NaN,34.6054647709459,NaN
20,0.000475581655544137,NaN,0.823093580546144
30,NaN,37.0871816336812,NaN
35,8.8971268930574e-06,NaN,NaN
40,NaN,NaN,1.42232332886589
45,9.65241230184132e-06,6.6322242339027,NaN
60,8.54094614855169e-05,NaN,NaN
65,NaN,0.226951974101384,0.0827831227765794
80,0.00257370486520342,NaN,NaN
85,NaN,0.0169859603503477,NaN
90,NaN,NaN,0.00170136252054946
100,0.00332709407625715,0.629326160327643,0.00700126315029729
150,0.000232968550062022,0.0132581652972097,0.00144014384562815
