t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00135510541604788,0.0451070443577446,0.00150288560170498
10,0.0555094576137981,2.33353275196895,NaN
15,NaN,NaN,0.117011430503463
20,NaN,32.6052524938397,NaN
25,8.67199252701935e-06,NaN,NaN
35,NaN,18.822552537615,1.49140293728863
40,9.14673701603854e-06,NaN,NaN
50,NaN,2.17634137748198,NaN
55,9.20500290533022e-06,NaN,0.262150476454753
65,NaN,0.156219159105478,NaN
70,1.83247913203857e-05,NaN,NaN
75,NaN,NaN,0.0129669582838037
85,NaN,0.0164208639689261,NaN
90,0.000109341257694964,NaN,NaN
95,NaN,NaN,0.000592475452230139
100,0.000238597486824633,0.00972881774186329,0.000225291171627277
150,0.000628187967551297,NaN,5.82942474357132e-05
200,NaN,NaN,0.000472000975392607
250,NaN,NaN,0.0010698215675615
300,NaN,NaN,0.00150725915929653
350,NaN,NaN,0.00158796216825808
450,NaN,NaN,0.00145500307339364
