t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.46498030797846,0.00144484387411334,68.9798513518491,0.0357317130962646,0.0321952113811981,0.0381736298556275,0.00184726510575963
8.5,NaN,NaN,75.7329597052816,NaN,NaN,0.0625715879454039,NaN
9,NaN,NaN,NaN,NaN,0.171111692685972,NaN,NaN
10,NaN,0.0114709107084644,NaN,1.85673746486421,NaN,NaN,0.00148521069796308
15,0.35311711841293,NaN,91.1046236230412,NaN,NaN,0.728632233848163,NaN
20,NaN,NaN,NaN,NaN,3.63564272324428,NaN,0.0210694069080936
25,NaN,0.00961393909935852,67.0502506792206,2.5479873878733,NaN,3.07730313351438,NaN
30,0.0975390616154303,NaN,NaN,NaN,3.32604672989173,NaN,NaN
35,NaN,NaN,53.9641711775573,0.32944000300086,NaN,2.67399251694655,0.13408143797132
40,NaN,0.000198845865653544,NaN,NaN,0.935184058923928,NaN,NaN
45,0.0113004290782985,NaN,NaN,NaN,NaN,1.07347885560492,NaN
50,NaN,NaN,49.8175237420052,0.0064381293948918,0.196497909593889,NaN,0.0623772653207914
55,NaN,0.000151829136128131,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,61.9295516035026,NaN,NaN,0.0893861035976673,NaN
65,0.0277924395946582,NaN,NaN,0.000222433574968444,0.00951380282572209,NaN,0.0149253330119509
70,NaN,NaN,NaN,NaN,NaN,0.0205312887507924,NaN
75,NaN,0.000788723979379546,59.2374895753643,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00207596095072525,NaN,NaN
85,0.0706135134089573,NaN,NaN,0.0286883439693122,NaN,NaN,0.000681859134870611
90,NaN,NaN,NaN,NaN,NaN,0.0152643057217503,NaN
95,NaN,NaN,62.1405673656966,NaN,NaN,NaN,NaN
100,0.0912913842757358,0.00362812944979234,62.9752764116621,0.271795240683386,0.134966147293119,0.079802051919291,0.00109693255665213
150,0.0812599945811582,0.00311015480161795,43.5194219609067,0.0723891571233322,NaN,0.114056972598506,0.0073556525245126
200,0.0832411072301806,NaN,NaN,NaN,NaN,NaN,NaN
