t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00177607426699334,0.044714512914609,0.0015918812420935
8.5,NaN,0.140442535401253,NaN
10,NaN,NaN,0.00211762896748186
15,0.0255176827671659,2.80865959295064,NaN
20,NaN,NaN,0.101068693670364
25,NaN,9.93172916419165,NaN
30,7.45393317550083e-05,NaN,0.326269677677704
35,NaN,5.75735050903609,NaN
45,1.06847027077542e-05,NaN,0.206724871664855
50,NaN,0.864674888032861,NaN
60,1.68410825141208e-05,0.15777883414006,0.0431303889401488
75,NaN,0.0225896547971452,0.00580773987152065
80,9.35512818372822e-05,NaN,NaN
95,NaN,0.0107137173115127,0.00025520800745562
100,0.00024508617677514,0.0113657146002525,9.7543513519762e-05
150,0.000710402475869866,NaN,NaN
