t,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.000220516075266578,0.0326967410636718,0.0376331210396252
8.5,NaN,NaN,0.543901743570868
9,NaN,43.589160519343,NaN
15,0.006738183262548,NaN,17.4927838920418
20,NaN,66.5388263024426,NaN
25,1.54456252098682e-05,NaN,67.1984971934159
30,NaN,11.8701503112893,NaN
35,NaN,NaN,43.8230483635482
40,1.49432397537944e-05,1.54700611712288,NaN
50,NaN,NaN,7.50218461193546
55,NaN,0.0699566119273518,NaN
60,0.00010754987152581,NaN,1.61059187415827
70,NaN,0.00251294235315906,NaN
75,0.00087441818406503,NaN,NaN
80,NaN,NaN,0.046179077825027
90,NaN,0.284597406167269,NaN
95,NaN,NaN,0.0904434383313562
100,0.003214867516377,3.87714512514515,0.403833984246892
150,0.00112575575877505,0.00581848144304775,NaN
