t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.400166486798688,0.00150446802284403,0.0368169940315118,0.0342181184848128,0.0392968619784716,0.00123811422257395
9,NaN,NaN,NaN,2.19507655761243,NaN,NaN
10,NaN,NaN,38.7443383158495,NaN,1.03546645959124,NaN
15,NaN,0.0423642255076967,NaN,NaN,NaN,NaN
20,0.0708649786016165,NaN,NaN,29.0271556815306,NaN,0.277843722719782
25,NaN,NaN,5.34829924076387,NaN,23.4296295255118,NaN
30,NaN,9.26011443515838e-06,NaN,15.9683624466327,NaN,NaN
35,0.00212974338534202,NaN,0.530712808757383,NaN,NaN,NaN
40,NaN,NaN,NaN,3.46938043737986,7.41370455097178,NaN
45,NaN,9.93200724363579e-06,NaN,NaN,NaN,0.429423861542479
50,NaN,NaN,0.0120101126667912,NaN,NaN,NaN
55,0.00532726231690398,NaN,NaN,0.231322384919133,0.628348995317624,NaN
65,NaN,1.73941713515054e-05,0.000336424969642852,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.05573216651645,0.0273093066862085
75,0.0285553504791318,NaN,NaN,0.00416835038272809,NaN,NaN
85,NaN,0.000114901137862492,5.74878620690268e-06,NaN,0.0142591622715502,NaN
95,NaN,NaN,NaN,7.38333887430493e-05,NaN,0.000425135935694544
100,0.0844367808757107,0.000237466170507458,8.77325578149273e-05,NaN,0.00929874945202776,0.000159653738391263
150,0.199165058806644,0.000722610161135132,NaN,NaN,0.0131908158799623,7.99542581478769e-05
200,0.311272960148832,NaN,NaN,NaN,0.0246751803525952,0.000450162131911671
250,0.395575846871175,NaN,NaN,NaN,0.0362386884959556,0.000992914308265965
300,0.370817035294595,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,0.0011931600889458
400,NaN,NaN,NaN,NaN,NaN,0.00133816249075976
