t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
89,0,0.000257858281418406,9.08388401925043e-05,7.80554805259741e-05
89,0,0.000303527941019834,7.98626952562757e-05,7.92534628322195e-05
89,0.5,0.000431562270403918,0.000291337142110526,0.0003568411867431
89,0.5,0.000455035501626057,0.00031540537841349,0.000255061632716529
89,1,0.000675458608283756,0.000677354103082379,0.000627816002055754
89,1,0.000495569069068704,0.000780643710622664,0.000629969710320908
89,2.5,0.00297254292027633,0.0355124226070358,0.0377312758913172
89,2.5,0.00279787529719147,0.0410788258917645,0.0432818688524595
89,5,0.00412156029785516,0.0215993616912316,0.00634446765589755
89,5,0.00412263604053253,0.0254410548623719,0.00664348129113286
89,10,0.000928961366134754,0.00385938685257099,0.00336633151427271
89,10,0.00111783918137601,0.00309283488297986,0.00321892960510452
89,25,0.00452662411574699,0.0525410429424608,0.0547954424657788
89,25,0.00299459025147712,0.0483710782102833,0.0518854149491047
89,50,0.0017608576782719,0.0158671989029166,0.0142521107701686
89,50,0.00164882593280353,0.0148423895399437,0.0127362572128634
89,100,0.00375449628513817,0.0367286930971427,0.0176231347568936
89,100,0.0031681813031231,0.0432985054686054,0.0172003767275233
89,500,0.00927195032879955,0.0964003605057778,0.0176679088355452
89,500,0.00649276810531317,0.0862975543037277,0.0127857032537558
