t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
63,0.1,0.000190448170957838,0.00238452844581909,0.00229997333079848
63,0.1,0.000199399631662161,0.00373126493354542,0.00306704145050136
63,0.5,0.000281045988718334,0.0074283641581038,0.00664355286545185
63,0.5,0.000288179128142204,0.00831728230594687,0.00653257114702985
63,1,0.000372641155446437,0.0136353140363674,0.0170185791938204
63,1,0.000437115023259138,0.0143568183353267,0.0143598140594863
63,2.5,0.000692552769047945,0.0489091547231449,0.0500833576251095
63,2.5,0.000744986339539381,0.0417754806980131,0.0571588488461142
63,5,0.000866860703574065,0.0635751454536643,0.117136629258583
63,5,0.000991183242471933,0.0714314140162455,0.103151964717588
63,10,0.000807917839770332,0.0324379328149286,0.147451872879602
63,10,0.000852044920999295,0.0289711674387747,0.152767523791416
63,25,0.000308463342336305,0.00409459325534293,0.176494557188817
63,25,0.000340308967703384,0.00520501904498043,0.174807244807397
63,50,0.000287089948089027,0.0045212959594137,0.299215056691373
63,50,0.000304509395715088,0.00581920042669288,0.236673563257128
63,100,0.00029189843841267,0.00595437304953801,0.461661881829795
63,100,0.000305012150709617,0.00633534897998757,0.456236164625183
63,500,0.000268565408270109,0.0156781101579926,1.29657487448563
63,500,0.000340952002650858,0.0158890558523191,1.16742302030616
