t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.454941123340094,0.00145246654344396,57.2068413831077,0.0364694662603323,0.0367914226926284,0.154733117841298,0.00178115829375674
7,NaN,NaN,120.235060228034,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,5.73160519078897,NaN,NaN
8.5,NaN,NaN,NaN,72.5967745917589,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,2.80478390733549,NaN
10,0.296639975976712,NaN,NaN,NaN,NaN,NaN,0.0116302321700034
15,NaN,0.042824264764307,75.4105697220785,79.656882951823,72.2169796231167,NaN,NaN
20,NaN,NaN,54.3937013126675,NaN,NaN,57.5013752509353,0.87227917038407
25,0.000795612392377794,9.09784821198538e-06,NaN,8.77533633495085,50.1210820963602,NaN,NaN
30,NaN,NaN,59.4884523193865,NaN,NaN,31.023111686977,NaN
35,NaN,NaN,NaN,0.616880942960288,11.0918360582695,NaN,1.68882130926211
40,0.000803269170761964,1.21627007164755e-05,57.5486713577999,NaN,NaN,14.446861515848,NaN
45,NaN,NaN,NaN,NaN,1.93303005729126,NaN,1.0319443893106
50,0.00162760530479103,NaN,48.9718843862757,0.0200585738385337,NaN,NaN,NaN
55,NaN,3.51916683414674e-05,NaN,NaN,NaN,1.29158620406211,NaN
60,NaN,NaN,NaN,0.00182085274801325,0.146780492064725,NaN,0.17475497124246
65,NaN,NaN,43.7731889249147,NaN,NaN,NaN,NaN
70,0.0120900337216465,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,0.00133371065957264,NaN,0.000306008873027583,0.005621393113274,0.155179222622849,NaN
80,NaN,NaN,60.0000794744535,NaN,NaN,NaN,0.00829292794792907
85,0.0299487378199668,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.00899604316270508,NaN,1.92267345213714,0.472022024270418,0.358385278417771,NaN
100,0.0551489095480351,0.012502869997231,79.1399540601401,4.00812181700015,1.76491947973541,0.808155038367357,0.00861400818946568
150,0.025255575134951,0.00401979958007487,NaN,NaN,NaN,NaN,0.0103792913321614
