t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.346394112934973,0.00140033159232987,54.5418221892656,0.0384834739024533,0.0390283833709642,0.0411925454340251,0.00147560534214694
8,NaN,NaN,84.0229025671182,NaN,0.341184721191527,NaN,NaN
9,NaN,NaN,NaN,6.07455388459823,NaN,NaN,NaN
10,0.358504210081984,0.0215700933186485,NaN,NaN,NaN,0.332361389119871,NaN
15,NaN,NaN,94.9574123203892,NaN,5.62435717519407,NaN,0.0132091550591138
20,NaN,0.0187922178420159,NaN,9.04169566212863,NaN,NaN,NaN
25,0.0671590131093845,NaN,64.5473108219909,NaN,11.945162934274,11.5315199948831,0.217795740266075
30,NaN,NaN,NaN,1.09002299920471,NaN,NaN,NaN
35,NaN,2.50769080152699e-05,57.3048756109088,NaN,3.42097175891089,NaN,NaN
40,0.00373667027335108,NaN,NaN,0.0786796888376383,NaN,2.9752979414139,0.336102344881764
45,NaN,2.75474107783626e-05,53.2971303419225,NaN,0.81280958630373,NaN,NaN
50,NaN,NaN,NaN,0.00996161407200727,NaN,NaN,NaN
55,0.00750455796176489,NaN,NaN,NaN,NaN,0.348642415155728,0.0866699854566289
60,NaN,0.00021678280158431,48.8102049746042,NaN,0.0507007509845285,NaN,NaN
65,NaN,NaN,NaN,0.000258981787096335,NaN,NaN,NaN
70,0.0204866509365894,NaN,NaN,NaN,NaN,0.0356535317147036,NaN
75,NaN,NaN,54.6465094855286,NaN,0.00228596810610198,NaN,0.00621924741085338
80,NaN,0.00224179307983276,NaN,0.0124633756110433,NaN,NaN,NaN
90,0.0819005098406646,NaN,71.4329856281936,NaN,0.0397422802949546,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,0.0970084092218988,0.000896678970033845
100,0.0848978851300041,0.00480982993222426,61.5595079207812,0.801084699998657,0.312822718100256,0.179568972142863,0.00239249631650388
150,0.0558035946088974,0.00319092363200195,NaN,NaN,NaN,0.0518336922597058,0.00750536935476052
200,0.0568043073435754,NaN,NaN,NaN,NaN,NaN,NaN
