t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00171160620349845,0.049931054738506,0.00155809192534639
10,NaN,NaN,0.00292551100047932
15,0.0292314261821567,6.11141138045011,NaN
20,NaN,NaN,0.15997791877095
30,1.20169359143686e-05,NaN,0.564962532982673
35,NaN,11.3289820760258,NaN
45,1.17859320408392e-05,NaN,0.503191969650633
55,NaN,0.522870271248223,NaN
60,1.26961261431029e-05,NaN,0.0697757760663882
75,NaN,NaN,0.00905803328477252
80,7.10943878440542e-05,0.0155172131682656,NaN
95,NaN,NaN,0.000414917740714774
100,0.000219667194333658,0.010531507688439,0.000119474691224391
150,0.000809742208235289,0.0144212804601832,NaN
200,NaN,0.0226060197569007,NaN
