t,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.00018233969236681,0.0320942778436899,0.0296741587456444
8,NaN,0.994086647097891,NaN
10,0.0187249681856405,NaN,0.0979190633443273
15,NaN,14.3826296876889,NaN
25,0.00188276931673533,11.6065583757679,10.4584757064032
35,2.55539790280092e-05,2.59679850279901,9.75485912935229
45,NaN,0.310830962976969,NaN
50,5.56747840894373e-05,NaN,3.04851881042814
55,NaN,0.0389820738040879,NaN
65,NaN,NaN,0.337993020325557
70,0.000586986033243314,0.0014826610923019,NaN
85,NaN,0.0170575558613187,0.0100179874848679
90,0.00267536938041781,NaN,NaN
100,0.00403224236148326,0.673664629468971,0.115818016337201
150,NaN,0.0143486571128384,0.0864077868716008
