t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
57,0,0.000199465958655128,0.000157063811416763,0.000220079897786885
57,0.0005,0.000231586676309804,0.000198393735323214,0.000225587854728521
57,0.005,0.000240187011746573,0.000180373826395773,0.000244581770387389
57,0.05,0.000252141619738499,0.000230118800521533,0.000263142578887724
57,0.5,0.000320524642999732,0.000626078301284113,0.00063006433841758
57,5,0.00144345334541787,0.0214414430127098,0.0210785862208069
57,50,0.00127213630894833,0.0155680711685052,0.269485566648198
57,100,0.000713078633442463,0.0108033472026583,0.414450232792948
57,200,0.000961912318402126,0.0112876851634019,0.534906324992118
57,500,0.000998858079680515,0.0150105885967186,0.753976626906257
