t,input_il6,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
9,0,0.00139910910736985,0.0456663456414346
9,0,0.00164706119113699,0.0450036220279268
9,0,0.00167432674318303,0.0420139740421564
9,15,0.014313854968184,0.125694284480294
9,15,0.0147485008081756,0.121260270366197
9,15,0.0158090795516897,0.132523244681084
9,30,0.0257426180887614,0.37589517799214
9,30,0.0280246226581422,0.309998688374039
9,30,0.0283607148142308,0.373033245112906
9,60,0.0480406873960578,1.36339191690156
9,60,0.0525888672814778,1.39915645622745
9,60,0.0541932292232208,1.29027636710892
9,120,0.0810206627010977,5.20385151765437
9,120,0.0890466922378306,4.49749656605597
9,120,0.0943207871947965,4.69986151774386
