t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00157936787699112,0.136094565759886,0.00158065041922264
9.5,NaN,8.00154015788149,NaN
10,0.0964107069122688,NaN,0.0213889168826063
20,NaN,98.7956247542889,NaN
25,9.69272222445733e-05,NaN,2.48997378809793
30,NaN,53.1065164368466,NaN
35,0.000109534480637485,NaN,2.74998273824346
45,NaN,7.46257151214246,NaN
50,0.000103884208359251,NaN,0.825395879642906
60,NaN,0.746538521511112,NaN
65,0.000109098820717428,NaN,NaN
70,NaN,NaN,0.0536142359820645
75,NaN,0.136878216846173,NaN
85,0.000168633826696889,NaN,NaN
90,NaN,NaN,0.00223798076334465
95,NaN,0.0827281500110034,NaN
100,0.000208149774040336,NaN,0.00035161752714003
150,0.000641029645365781,NaN,NaN
