t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00128774425185543,0.130471921159875,0.0013400094760738
10,0.0735969418389014,5.53233118845668,NaN
20,0.000454667897718881,NaN,0.909790273543583
25,NaN,57.1376303518416,NaN
30,1.04391310263172e-05,NaN,NaN
35,NaN,22.1892829827673,NaN
40,NaN,NaN,1.42710495239078
45,9.59728966746777e-06,NaN,NaN
50,NaN,2.90272028061005,NaN
60,1.03702098032844e-05,NaN,NaN
65,NaN,0.344725624449424,0.0792339029156128
75,2.98195832446907e-05,NaN,NaN
85,NaN,0.133231308196279,NaN
90,0.000109461889713006,NaN,0.00162560062869381
100,0.000211574961508783,0.124615426066994,0.00027967246381632
150,0.00072972579890879,NaN,5.53599840466554e-05
200,NaN,NaN,0.000441489839985952
250,NaN,NaN,0.00113485507699547
300,NaN,NaN,0.00117928352115542
350,NaN,NaN,0.0014515771690188
450,NaN,NaN,0.00168109183618909
