t,input_ruxolitinib,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
13,0,0.00160116606052074,0.0336052944056438
13,0,0.00154002477901546,0.0362621139100183
13,0,0.00168638390712421,0.0277509972868035
13,0,0.00149517672843021,0.0371868473358209
13,10,0.0013673616434162,0.0419180190498657
13,10,0.00172825051098358,0.0361260881979964
13,50,0.00106114358647766,0.0323154854958773
13,50,0.000983302600924837,0.0344380791796145
13,50,0.000611043237279796,0.0282538231666128
13,50,0.000591907511256614,0.027674119114536
13,100,0.000857011801210718,0.0291479885919325
13,100,0.000580156902264305,0.0304239426163314
13,200,0.000523164147044768,0.0340310469914472
13,400,0.000787894692802684,0.0344744820742617
13,500,0.000518847314244734,0.029238050440465
13,600,0.000759815951480987,0.0330842852917812
13,600,0.00134283193212999,0.0343832356091928
13,800,0.00131112083744738,0.0327377746205649
13,1000,0.00160877863859246,0.0392945029132816
13,1000,0.00130625144845768,0.0342454210416583
13,2000,0.000778946907276075,0.025632867580079
13,2000,0.000458688972348526,0.0298988084815261
13,2000,0.000774333461696951,0.0325782863908311
13,2000,0.000775157672922818,0.0298495922381027
13,5000,0.000632363948233603,0.0283327622862821
