t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00146286645917316,0.0539365671025048,0.00147074324176482
10,0.0358987629129299,NaN,NaN
15,NaN,10.7864595658448,NaN
20,NaN,NaN,0.340915984463952
25,7.27391283044688e-05,26.8760671338825,NaN
35,9.45426117389395e-06,NaN,0.852675759841726
40,NaN,5.34143666782846,NaN
50,1.00169611913853e-05,NaN,NaN
55,NaN,0.574883893345113,0.165174712575973
65,1.67747791444851e-05,NaN,NaN
70,NaN,0.0505128389302242,NaN
75,NaN,NaN,0.0100607261653187
85,9.47661950479838e-05,0.0149581564537365,NaN
100,0.000184248450539237,0.0111601223456544,0.000175862540813703
150,0.000604856293209754,0.0114189926582716,8.16800992889332e-05
200,NaN,0.0249790728330938,0.000452946680802114
250,NaN,0.0328033420594554,0.00103045386153087
300,NaN,NaN,0.00151293762327019
350,NaN,NaN,0.00143551433228829
450,NaN,NaN,0.00139819346951496
