t,input_il6,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,2.5,0.360157220582758,0.00151448792710886,0.0330258235733238,0.03714074127307,0.0388071978907516,0.00188230887221128
0,2.5,0.440591191620272,0.00151676125122336,0.0319487870037367,0.0366386190341152,0.0350051964475083,0.00159192794398448
0,2.5,0.316423814040444,0.00164333233674828,0.0340092497221093,0.0323438132843293,0.0345759921569996,0.00151160491496595
0,2.5,0.3887604223525,0.001800865650798,0.0388151578254485,0.0323223125877923,0.0349860550452552,0.00151393673798912
0,2.5,0.446161672405265,0.00154629518558431,0.0396776470826001,0.0263886028448428,0.0336739383788474,0.0018365378912046
0,10,0.381459824854104,0.00162867142734932,0.0325452689418308,0.0352153909624035,0.0399659319400863,0.00145136727157163
0,10,0.385476212972096,0.00133522383222262,0.0386113864935009,0.0341830463531456,0.0324221205693841,0.00147948215825513
0,10,0.366804661869838,0.00147461377177958,0.0379926890656798,0.03607965475229,0.0388320035605351,0.00151321630056
0,10,0.451062179438438,0.00150609626403092,0.0373647503725906,0.0356795797888189,0.0306096910962193,0.00144057780344615
0,10,0.332202081029296,0.00168196365039647,0.0303066905831474,0.0362651253203677,0.0340288518000624,0.00166244875676662
0,60,0.470690880601056,0.00145352689451532,0.0340931542900228,0.0383481666070847,0.033178829195548,0.00162748866346007
0,60,0.433496865103845,0.00144012959811093,0.0288007339572022,0.0307464682451455,0.0398192839260206,0.00132418223213912
0,60,0.371901441822032,0.00181812658484659,0.0395669772448517,0.0386868628863002,0.0333685513832504,0.00137328489927223
0,60,0.411882916906033,0.00155277988508004,0.031863404661079,0.0353307570728394,0.0380183626945002,0.00140275518024339
0,60,0.372579096275844,0.00119728009085937,0.0342552191008647,0.0359633857819722,0.0360638708865011,0.00150627090336281
0,120,0.407702308924405,0.00155900928064923,0.0334849334106774,0.0310399000916683,0.0258353797619831,0.00156746103949456
0,120,0.312233127934277,0.00159414160280169,0.038243132833151,0.0371459685697363,0.0310118860145667,0.00137874897994342
0,120,0.38202286976119,0.00162576170406916,0.028119557487686,0.0348939915599781,0.037471413758464,0.00130959538438151
0,120,0.434668450083136,0.00145283387904219,0.0390118507387608,0.0308078599538802,0.03536641743667,0.00160215579061301
0,120,0.466282104068022,0.00157942225543482,0.0357717522332763,0.0344193611043463,0.0314546213956986,0.00154347561630063
