t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00183853325837815,0.142787068124908,0.00162056999577951
3.5,NaN,0.149075756854809,NaN
4.5,NaN,NaN,0.0017863653634345
5,0.0427024873781955,NaN,NaN
7,NaN,0.569394361747039,NaN
9,NaN,NaN,0.00605685724684397
9.5,0.0556925878016299,NaN,NaN
10,NaN,4.88108112114846,NaN
15,0.0536000575992122,29.6654220085354,0.188115944835616
20,0.000530794777450429,55.8885368285805,0.754765062436771
25,9.62034832972577e-05,60.958016673654,1.7768227493185
30,NaN,39.9809398955316,2.08503128949175
35,0.00011104504047344,22.0105816767939,NaN
40,0.000109367604918473,NaN,1.68366630123485
45,NaN,5.61534037204748,NaN
50,0.000112012744184313,NaN,0.434612181254567
55,NaN,1.24732972905733,NaN
60,0.000119371396076935,NaN,0.141748330268248
65,NaN,0.297032844885654,NaN
70,NaN,NaN,0.0415303368134267
75,0.00010581916541754,NaN,NaN
90,0.0001012685105463,NaN,NaN
