t,input_stattic,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs
0,0,0.00126244308964546,0.0350217280835624
0,0,0.00160211149180374,0.037327380623237
0,1,0.0012729778557438,0.0343573997909512
0,1,0.0014526293422554,0.034230428858554
0,5,0.0014795133291546,0.032620846526647
0,5,0.00143985743419303,0.0377822558324677
0,5,0.00145854204056373,0.0413216867644736
0,5,0.00138928526632403,0.0322402071173422
0,10,0.00168953307584387,0.0300302570536531
0,10,0.00172504631654621,0.0391362824416209
0,20,0.00134102520921217,0.0370474073031862
0,20,0.00132910051252744,0.0337221240801041
0,50,0.00139748678327316,0.0324557914642982
0,50,0.00135210122472241,0.0318030489382007
0,50,0.00143892806695008,0.0377729526224082
0,50,0.00159034441402194,0.0326551601126054
