t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00154626403454717,0.0410150932061358,0.00144786535725485
8,NaN,NaN,0.00346390727310652
10,0.0433073595068928,4.32293618006648,NaN
15,NaN,NaN,0.170265280176478
20,NaN,41.6256529475164,NaN
25,1.20054837763953e-05,NaN,1.33109432474763
35,9.47255751948515e-06,14.2986592584302,1.4943724199467
45,NaN,NaN,0.578654141035608
50,1.17509516478298e-05,1.30394327358549,NaN
55,NaN,NaN,0.223900718734026
65,NaN,0.14579871034499,NaN
70,2.62282851539789e-05,NaN,0.0231478298576148
85,NaN,0.0107820154501784,0.00191241815341523
90,0.000131957717866181,NaN,NaN
100,0.000185830205347175,0.00947700808254683,0.00016386573197502
150,0.000571697926323844,NaN,NaN
