t,pJAK1_pgp130_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,0.00140764959936061,0.0406421084276221,0.00148438531202727
4.5,NaN,0.0370426956554576,NaN
6,NaN,NaN,0.00139734586495888
9,NaN,0.025236422284734,NaN
10,NaN,NaN,0.00148848809657123
15,NaN,0.0192909461946293,NaN
20,0.0923774791999977,0.0116018293709899,0.000984131961037192
25,NaN,0.00447201239652735,0.000726478215705232
30,NaN,0.00232689986638115,NaN
35,NaN,NaN,0.000242229417175947
40,0.0956709865127143,0.000639584510434826,0.000122635205505435
45,NaN,0.000253553558384175,NaN
50,NaN,NaN,3.8914291083577e-05
55,NaN,0.00011927023639067,NaN
60,0.0728499307251864,NaN,NaN
65,NaN,0.000111816022247273,3.67551470055263e-06
80,0.0767357543182843,9.59933509406951e-05,2.92551893826454e-07
95,NaN,NaN,2.04781788757472e-08
100,0.0605240186446452,NaN,NaN
150,0.0557265492389048,NaN,NaN
200,0.0583932241950432,NaN,NaN
250,0.0565386624115879,NaN,NaN
300,0.0366397205330678,NaN,NaN
350,0.0331532034331131,NaN,NaN
450,0.0282596383026278,NaN,NaN
