t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
310,0.1,0.000196360031157937,0.0342092573809572,0.0394836046188687
310,0.1,0.000198846247656658,0.033613240103047,0.0371261638341809
310,0.5,0.000224109254441757,0.0514898610321841,0.0507335376425862
310,0.5,0.000250437537566703,0.0523454397240019,0.0493583956886147
310,1,0.000271545687813831,0.0624459938038033,0.0659519331619665
310,1,0.000304997519344907,0.0566647385055453,0.062852574436875
310,2.5,0.000362172751369816,0.102350397785528,0.0861868900293212
310,2.5,0.000396546568665851,0.0903516098181389,0.0892112532000506
310,5,0.000448710227594022,0.11710472828506,0.133219509454938
310,5,0.00054205362773935,0.124653715868814,0.125151233050935
310,10,0.000651244526188871,0.163803522899453,0.164933009114621
310,10,0.000780341961318552,0.192558862388602,0.144831942423938
310,25,0.00135838067928059,0.692207475933242,0.219823003190458
310,25,0.00154280791452261,0.781782513065663,0.170957971339552
310,50,0.00206943700531536,1.54088988864381,0.242222336759375
310,50,0.00227886759610249,1.56818349863753,0.257673700482675
310,100,0.00327537348408027,3.14901192336684,0.526900326979655
310,100,0.00350448787557327,3.57625308982175,0.555648921920343
310,500,0.00511061293249625,12.3330974208367,2.28790027025194
310,500,0.00668463679782186,10.9855138384132,2.24649904916788
