t,Csub_Obs,RII_2_Obs,AC_Fsk_Obs,RIIp_2_Obs,Compound_2_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs
0,0.203578304650103,0.0301936500817296,-0.120314814438577,0.169760560280631,0.231527080352991,0.203096720768007,0.35231309623179,0.227887801687792
10,NaN,NaN,NaN,NaN,0.220550382710055,NaN,NaN,0.216326721104011
15,0.198376285236291,0.0361767201140636,0.0824284290724034,0.178027548584389,NaN,0.174516247074096,0.338093908297648,NaN
25,0.219881291444589,NaN,NaN,NaN,0.230939580349479,0.171043682468306,0.402644186907754,0.201503581886003
30,NaN,0.0356403112465349,NaN,0.171401434269538,NaN,NaN,NaN,NaN
35,NaN,NaN,-0.0162305040689484,NaN,NaN,NaN,NaN,0.224842628279284
40,NaN,NaN,NaN,NaN,0.238055912205427,0.148413427174716,NaN,NaN
45,0.202220740397276,NaN,NaN,0.194329654457312,NaN,NaN,0.31904875045984,NaN
50,NaN,0.0351303187275642,NaN,NaN,NaN,NaN,NaN,0.1983725493748
55,NaN,NaN,-0.128520073693423,NaN,0.225287098810393,NaN,NaN,NaN
60,0.215311147250885,NaN,NaN,NaN,NaN,0.173421034199626,0.340854040831204,NaN
65,NaN,NaN,NaN,0.168452261397573,NaN,NaN,NaN,0.229377132540132
70,NaN,0.0355367865959873,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,0.0569596717638298,NaN,0.246634741626831,NaN,NaN,NaN
80,0.204277564662754,NaN,NaN,NaN,NaN,0.145710096030285,0.38173684662349,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196910464560974
90,NaN,0.0364720365012126,NaN,0.128081998163695,NaN,NaN,NaN,NaN
95,NaN,NaN,0.0547872314394149,NaN,0.275760958851289,NaN,NaN,NaN
100,0.187467769906541,0.0337629399765563,0.0235504959660718,0.159796514097263,0.226422590626941,0.159996001206422,0.377555069937217,0.225291265727874
150,0.204968543188043,NaN,0.0110275754981947,0.160465861863953,NaN,0.167552690033481,0.399848567821551,0.176849275890636
200,NaN,NaN,-0.0494725709143501,NaN,NaN,NaN,NaN,NaN
250,NaN,NaN,-0.0105862790057438,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,-0.0868475159378202,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,-0.133576780576665,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,-0.0705747394589081,NaN,NaN,NaN,NaN,NaN
