t,Compound_1_Obs,Compound_4_Obs,Compound_6_Obs,Compound_8_Obs,Compound_9_Obs
0,1.16223769069742,0.0760249097550198,0.446532131609844,0.200842347337194,-0.0147852753843004
3,NaN,NaN,7.5936794837182,NaN,NaN
4.5,NaN,NaN,NaN,NaN,0.176358282370313
5.5,0.543838088200138,NaN,NaN,NaN,NaN
6.5,NaN,0.638318426878497,7.51505655403654,NaN,NaN
7,NaN,NaN,NaN,0.326444249804122,NaN
9,NaN,NaN,NaN,NaN,0.15203030209506
10,0.46963391268627,NaN,7.83888558032116,NaN,NaN
15,NaN,0.889808531470737,8.37813931248984,0.382029793801108,0.150550630926579
20,0.496774031713022,0.82086526118352,9.27675494783144,0.396677689609038,0.152437270803138
25,0.441327277289825,NaN,8.53693628679543,NaN,0.147871208445301
30,NaN,0.883666176323146,8.54951423662955,0.452049425900234,0.147737990799184
35,0.574945816361386,NaN,NaN,NaN,NaN
40,NaN,1.00005875935285,NaN,0.398501648585687,0.135220835240225
45,0.542201787728627,NaN,NaN,NaN,NaN
50,NaN,1.04053410537478,NaN,0.490518547697343,0.114456527701662
55,0.535917156290036,NaN,NaN,NaN,NaN
60,NaN,1.05491958369352,NaN,0.469974006366803,0.119942007451422
75,NaN,NaN,NaN,0.448479398688521,0.14064779542596
90,NaN,NaN,NaN,0.42752355942832,NaN
100,NaN,NaN,NaN,0.42868977927426,NaN
