t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs
0,-0.0421262155029522,0.913440361773343,0.00190528264115493,0.364863625989597
4,NaN,0.940555189183565,NaN,NaN
4.5,0.679010025304198,NaN,0.0230962879144769,NaN
7.5,NaN,NaN,NaN,0.352044975248595
8.5,0.0887173551477445,1.14371090408208,NaN,NaN
9.5,NaN,NaN,0.0153067229114103,NaN
15,6.79567481125227,1.10091491827,0.538894585159672,0.526757608624296
20,8.42885178646663,1.36992682332514,0.550989303703269,NaN
25,7.46303813763504,1.12938413338924,NaN,0.756748065103077
30,7.47964955955759,1.04897175309804,0.536116917952431,NaN
35,7.92083233876841,NaN,0.501528216411705,0.808993990613458
40,NaN,1.1781597785384,NaN,NaN
45,7.2768443396306,NaN,NaN,0.853585890686392
55,7.14200018664057,NaN,NaN,0.878722651701927
65,7.73180681908707,NaN,NaN,NaN
70,NaN,NaN,NaN,0.85382932092427
75,7.82110596773092,NaN,NaN,NaN
