t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs
0,3.44960103659271,1.00970569023354,0.0018251303498036,0.446420534566624
2,78.9345116040509,1.40206639313039,0.528833711139044,0.380299900735736
4,114.552984173974,1.06752105234124,0.550554401498346,0.506133739104724
6,111.083633892128,NaN,0.550846468685859,0.583875427617531
6.5,NaN,1.33233907563998,NaN,NaN
8,122.891263080384,NaN,NaN,0.642820217391744
8.5,NaN,NaN,0.478317800801789,NaN
9,NaN,1.32074813441676,NaN,NaN
10,116.085209512159,1.30309617816644,0.590251005061946,0.655360963043648
15,112.869199182418,1.0475239330804,0.464439243542389,0.753814486568561
20,114.344858106036,1.06148897292806,0.545189510901556,0.893577071077157
25,90.9343963471192,1.23374778194533,NaN,0.926002521046478
30,109.131906944097,1.16973189993709,NaN,0.821412351547485
40,121.052888748985,1.19452808475727,NaN,1.04650944504432
