t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,0.102279706047693,0.180333347483822,0.984049586229283,0.206082792700795,0.00024575851354372,1.09099008894606,0.360465105168228,0.257002569610786,0.0336557337015532
3.5,4.11861861661291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78393208530364
4,NaN,NaN,1.00554614864835,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.258382787838861,NaN,0.808627770522892,NaN,0.279919720328771,NaN
6.5,NaN,0.300299160148624,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,0.524634311058249,NaN,NaN
7.5,6.03810322330354,NaN,NaN,NaN,0.000893335740587617,NaN,NaN,NaN,4.21226063386125
8.5,NaN,NaN,0.905857983129858,NaN,NaN,NaN,NaN,NaN,NaN
10,6.14193480901912,NaN,NaN,0.340825851770935,NaN,0.712667645645561,NaN,0.29948817162059,6.1081978258209
15,8.77632215449901,0.407415013518689,0.94886652311838,NaN,0.000647471130716273,0.932251805609368,0.791233606752154,0.409632238453104,5.76092014320104
20,9.04375178987103,0.449056145420106,0.870396350677925,0.385811096545053,NaN,NaN,0.848309575192102,NaN,8.41897473492674
25,10.7636489065737,0.460686367503138,0.889066839952545,0.422857030723858,0.000652856287214424,0.811608120104368,NaN,0.430724472788107,7.81823173195502
30,11.1810676398727,NaN,0.956398864572601,0.445243540554389,NaN,0.934501824024335,0.855341082796335,0.427897398120737,8.61966505442385
35,11.8083268434483,0.487575713845834,0.963099369294983,NaN,0.000587295917217149,NaN,NaN,0.488157071306,9.47600517414533
40,11.5985373654172,NaN,NaN,0.393802620546462,NaN,0.87660151350193,0.953222976098842,NaN,NaN
45,NaN,0.532772290355975,0.916758823099526,NaN,0.000632135106416157,NaN,NaN,0.495443028762498,9.25948286208592
50,11.1199065720186,NaN,NaN,0.429706084842098,NaN,0.844486291522682,0.858140674714797,NaN,9.36470027821988
55,NaN,0.529267996148792,1.04957709962239,NaN,0.000609230636892711,NaN,NaN,0.53315906425914,NaN
60,12.0797440942975,NaN,NaN,0.487130238583408,NaN,NaN,1.09188945430633,NaN,9.67716293635553
65,NaN,0.421897906254953,1.02934078444959,NaN,0.000644843972068579,NaN,NaN,0.43101134041681,NaN
70,11.0021311562682,NaN,NaN,0.441925252467477,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.935508205707944,NaN,9.88661781896206
80,NaN,0.527778607789246,NaN,NaN,0.000682703688413927,NaN,NaN,0.485220119796207,NaN
85,NaN,NaN,NaN,0.484385703154793,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.911783710053038,NaN,NaN
95,NaN,0.527436371399365,NaN,NaN,NaN,NaN,NaN,0.516263120354229,NaN
100,NaN,0.524033259040636,NaN,0.527029678152191,0.000598839910095861,NaN,0.834036816536594,NaN,NaN
