t,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs
0,0.147209525887656,0.864165752325462,0.0153100246573156,0.364627813098408
9.5,0.155050966197223,NaN,NaN,NaN
15,NaN,NaN,0.00380929737510495,NaN
20,0.412633868222323,0.909203803076391,NaN,NaN
30,0.165639346684065,NaN,-0.00886133037629997,0.44058226034324
40,0.222728901498787,1.02335257722867,NaN,NaN
45,NaN,NaN,-0.0040571734625445,NaN
55,0.154269712140819,NaN,NaN,NaN
60,NaN,1.05973711882877,-0.0107973027163832,0.377515653905463
70,3.58216774285392,NaN,NaN,NaN
80,NaN,NaN,0.249849956712497,NaN
85,NaN,0.963029527234643,NaN,NaN
90,3.89848910230634,NaN,NaN,0.758567179038555
100,3.70244360445026,1.25730454972976,0.261258308747764,NaN
150,3.50764431215465,0.985473147529469,0.249522185847899,0.990626766919249
200,NaN,1.01710703796548,NaN,NaN
250,NaN,1.08679804731385,NaN,0.994439304542564
300,NaN,1.16491109460677,NaN,0.958159770961407
350,NaN,1.05818713567184,NaN,NaN
