t,STAT_Obs,pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT3_Obs,nSTAT4_Obs,nSTAT5_Obs
0,0.567696790333818,0.000551489095934772,-0.0032163493215519,-0.0500078686379072,0.14905868019959,0.139025270805419
4.5,-0.178266938044065,NaN,NaN,0.00642238366605583,NaN,NaN
5,NaN,NaN,NaN,NaN,0.0367191179079993,NaN
6,NaN,0.00228995494846913,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.0720705905487748
9.5,0.296690844458622,NaN,0.117879871723464,0.209563812449145,NaN,NaN
10,NaN,0.00320065710125268,NaN,NaN,0.179873876159718,NaN
15,0.489992048021381,NaN,NaN,0.348375411577765,0.205578960105252,0.245606113476237
20,0.0614896502615406,0.00317086603451806,0.0996892808651071,0.174935594069207,0.146883990790402,0.251503129601321
25,0.598933389173994,0.00293196947664128,NaN,0.242277168712105,0.242258263712988,NaN
30,0.694681778158509,0.00276988622066896,0.0546369935593762,0.19510676742966,NaN,0.331627009036961
35,NaN,NaN,NaN,NaN,0.159542101176183,0.157974399495583
40,0.2146086892585,0.00178558628925127,0.0570224496522083,0.218349345018846,0.163773714890469,NaN
45,NaN,NaN,NaN,0.20546614378392,NaN,0.118052971788356
50,0.530869594385251,0.000809230514534111,0.080180695069271,NaN,0.0244338446372265,NaN
55,NaN,NaN,NaN,0.0032117461434038,NaN,NaN
60,0.849051823497278,0.00262830345846248,NaN,NaN,-0.00203994571146112,0.0171491053974133
65,NaN,NaN,0.00219813842826989,NaN,NaN,NaN
70,0.569797567063387,-0.000846644018138902,NaN,-0.0745497941425232,NaN,-0.0449529180212454
75,NaN,NaN,NaN,NaN,-0.0017318473523243,NaN
80,NaN,NaN,-0.0158444380460936,0.0751946979547408,NaN,NaN
85,0.680813424403328,-0.000489367957580685,NaN,NaN,0.0350807248742483,0.0660546425061995
100,NaN,0.00110731874047998,0.0747777280688184,NaN,NaN,0.0756707073862019
150,NaN,NaN,-0.0132167539259189,NaN,NaN,NaN
