t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00315072934219911,0.0110589664044062,0.00357945282829829,0.156490978723658,0.00270016597076611,0.0486502897628935,0.594362771340349,0.00993750304338984,0.00342768673471439,0.0944647750265518,0.0249307477802105,0.0026642447792734,0.00554787562064953,0.000840590540711602
0.3,0.000302955484128971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6,1.84661132992985e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,-3.61843469142857e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,1.8095210149555e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6.61808864472845e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,-3.49320172982124e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,3.70237993844453e-05,NaN,NaN,0.145552631120181,0.00278257412505696,0.0546757970123078,NaN,0.0100241088755017,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,0.00206697255587998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0.00483637631136673,NaN,NaN,NaN,NaN,0.602348912061984,NaN,NaN,0.0997873313256994,0.0262689183720032,0.00281834914295274,NaN,0.000916296081512115
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00327382521550355,NaN,NaN,NaN,0.0063512394858878,NaN
6,NaN,NaN,NaN,0.129916527733334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.002931799689185,0.0615759597803149,NaN,0.00846229424928436,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.00222710404971638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.00465863846254845,NaN,NaN,NaN,NaN,0.629352210518323,NaN,NaN,NaN,NaN,0.00301611627008653,NaN,0.000924607591175954
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.130202388117471,0.0282678748398052,NaN,NaN,NaN
9,NaN,NaN,NaN,0.120275772364196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.00398262605037324,0.00198709534770452,NaN,0.00243601668597831,0.0657540918557447,0.634682439605087,0.00848985934578356,0.00391028366160743,NaN,NaN,0.00314883549149254,0.00687578424200465,NaN
15,NaN,0.00400194731277403,0.00191968758144401,0.101465224821842,0.00230588876407773,0.0633046002792915,0.646200668035874,0.00825294005871334,0.00363833887110154,0.12433356019957,0.0304013276439947,0.00274283251631583,0.00634744662603158,0.000880865475311153
20,NaN,NaN,0.0022991084696008,0.0898877038060552,0.00254984163573345,0.0697141422216215,NaN,0.00786317000367976,0.00328488405082022,0.143630293402157,0.0296614179834575,0.0027681058394545,0.00668057573718319,NaN
25,NaN,0.00242863781418983,0.00231444569050116,0.0822071036079692,0.00228561723586568,0.0595594153974369,0.707053617637087,0.007989439295775,NaN,0.15143937043993,0.0290921036981962,0.00267160580348914,NaN,0.000972195527555802
30,NaN,0.00237012135992793,NaN,NaN,0.00222778708592934,0.0658475244972571,0.672182145195661,0.00826581245654668,0.00350015412753107,0.16761232222775,0.0301866797628502,NaN,0.00599768991774119,0.000731256825836553
35,NaN,NaN,0.00211753247651796,0.0594605761629336,0.00220901988970712,0.0668771847399927,NaN,0.00815545951808774,NaN,NaN,NaN,0.00255756020611092,NaN,0.000837518317235161
40,NaN,0.00143777743292394,0.00219068734953039,0.0426614123021616,0.00217760891032936,0.061836633266866,0.633020133217021,0.0088066816279847,0.00323906249204896,0.161672344255192,0.0302236056211029,0.00259025618351678,0.00739208646119254,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000882533846668495
50,NaN,0.00188635470576214,0.00245806199664371,0.0344065435793461,0.00243500051084953,0.0591795583270674,0.693232812959461,0.00889955365266514,0.00329853367416329,0.154130364940653,0.0328818895570664,0.00260475273669899,0.0067768283017165,0.000856817266069481
60,NaN,0.000767670883375043,0.00240858828854795,0.0255006652404861,0.00230596809688263,0.048371992349028,0.692977995102407,0.00822837194710508,0.00346132050121847,0.171290615461302,0.0291983459776011,NaN,0.0079434956505737,NaN
