t,IRp_Obs,IRS_Obs,XX_Obs
0,-7.89807887686857e-08,9.48986619271556,8.71314594515385
0.45,NaN,NaN,10.5656114479203
0.95,NaN,NaN,7.49517090826715
1,4.40168721419712e-07,5.12350734292002,NaN
1.5,NaN,NaN,10.7299893725614
2,NaN,NaN,10.7633550429788
2.5,7.34684463621105e-07,6.70203497270456,10.9647653047398
3.5,7.53582549687462e-07,5.99876213478375,9.28761199953159
4,NaN,NaN,7.70887818249726
5,1.42045433911191e-06,6.53492608941341,10.0617956844396
6,NaN,NaN,10.8630885107364
6.5,1.62827660419509e-06,5.0306063300045,NaN
7,NaN,NaN,10.1886267500776
8,NaN,5.96127755194514,NaN
8.5,1.43541946442164e-06,NaN,8.61226311087643
10,1.49069666117359e-06,4.56410949233512,NaN
15,1.1906318332899e-06,4.94766531152904,NaN
20,1.23675894210898e-06,7.65627275083244,NaN
