t,IRp_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,2.6562430266358e-08,9.48567516500346,-0.354150392005473,10.2655870555968,0.000232657208606647
2,NaN,4.12027802489764,NaN,NaN,NaN
2.5,1.97475994121426e-06,NaN,5.28225579641394,NaN,NaN
4.5,NaN,5.3597850180803,NaN,NaN,NaN
5,NaN,NaN,3.83029618608707,7.28081093320233,0.00218472306156343
5.5,1.47418510871877e-06,NaN,NaN,NaN,NaN
7,NaN,4.1506235639791,NaN,NaN,NaN
8,NaN,NaN,3.96803858986482,NaN,NaN
8.5,1.28926607521491e-06,NaN,NaN,NaN,NaN
9.5,NaN,5.86584375891915,NaN,NaN,NaN
10,1.336973772626e-06,NaN,3.91663442972041,13.1115659190211,0.00212176424173574
15,1.211982148491e-06,5.44531172993415,4.19321956184943,9.33358317767338,0.00236121172333499
20,9.73619514381243e-07,5.53528159820033,3.97439729062277,6.85394740384861,0.00243224406289271
25,8.32718828442411e-07,6.47676561273182,2.79719561974279,NaN,NaN
30,9.72540667392147e-07,5.53366424860935,NaN,9.49941197966581,0.00209119995386687
35,6.57369346025591e-07,6.27683047911283,4.81823778536736,10.7196767109576,0.00206940590361248
40,1.13434543306593e-06,NaN,3.38778638351728,NaN,NaN
45,NaN,NaN,3.31614848501539,9.06758728366058,0.0019678856653548
50,1.0071610931255e-06,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,10.3039482538881,0.00129704406927539
70,NaN,NaN,NaN,10.4247360555394,0.00157706392609191
