t,Epo_Obs,Epo_EpoR_Obs,dEpo_i_Obs,Compound_1_Obs
0,942.247139873365,-0.679101206246531,-0.460877339472845,1299.310139151
25,NaN,129.35041200631,NaN,NaN
30,645.761209008517,NaN,NaN,1165.82205771788
35,NaN,NaN,3.33278263532055,NaN
55,546.894792028374,96.771435300618,NaN,1061.41220978294
75,NaN,NaN,6.29160852479759,NaN
85,452.408959183839,75.600858066597,NaN,1104.62739179412
100,409.617358771628,72.0422126163782,10.5513048167576,926.00011142838
150,293.63398003849,59.1615723486692,14.0492082698265,1134.40362298351
200,198.361253711386,42.4926855573839,20.1369002467182,1076.12577101967
250,109.933362033358,32.1819281249179,25.2503659256984,1109.75542382735
300,64.2264619828505,20.2951464980808,26.5226272709844,1110.71832121992
350,27.9960261697986,NaN,NaN,1171.32544993208
400,32.7921853074009,6.2754122776777,30.8617332483079,1333.11311314016
450,NaN,3.48880657378161,NaN,NaN
500,2.95639545995323,NaN,29.8782549719956,1198.81048300237
550,NaN,0.567220702089585,NaN,NaN
600,5.63938437021167,NaN,31.7374967175378,1259.23973513172
700,NaN,NaN,32.6568739255033,NaN
750,-7.05742468693901,NaN,NaN,1328.006669537
