t,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.011754909991783,0.0615460184804835,0.593891334511374,0.00498221433120098,0.0468890999892665,0.00407544328492792,0.0057695391816366,0.00112195335033521
3.5,NaN,0.0672078175831674,NaN,NaN,0.0432128199432055,NaN,NaN,NaN
4,0.0154000722107253,NaN,0.48837494444319,NaN,NaN,NaN,0.00861798528346374,NaN
4.5,NaN,NaN,NaN,0.00529241005797838,NaN,0.00356785216852584,NaN,0.00123834514216348
7,NaN,NaN,NaN,NaN,0.0812383581588216,NaN,NaN,NaN
7.5,NaN,0.0711817515061569,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.497321768249355,NaN,NaN,NaN,NaN,NaN
8.5,0.00966206550794894,NaN,NaN,NaN,NaN,NaN,0.0109893533910998,NaN
9,NaN,NaN,NaN,NaN,NaN,0.0037829111052798,NaN,NaN
9.5,NaN,NaN,NaN,0.00457611770137391,NaN,NaN,NaN,0.00159069186068132
10,NaN,0.074421477775564,0.651665633943588,NaN,0.0426681967827428,NaN,NaN,NaN
15,0.00565045796482554,0.0769995925253042,NaN,0.00431080616327033,0.0463663026747878,0.00268450891084067,0.0135306643312622,0.00131799343472703
20,0.0153997325137804,0.104066534694517,0.717871773473509,0.00575814713251242,0.071149996031089,0.00173624337765166,0.0166523035599345,0.000977824809189708
25,0.00991949303476836,0.0793445308053529,0.747550136278619,NaN,0.042045157512894,NaN,0.0071580784879093,NaN
30,0.0142599068432222,NaN,0.706705576719716,0.0043962296370005,NaN,0.00233694056037382,0.0111058382012832,0.00124217625700748
35,NaN,0.0799960282831618,NaN,0.00470120660735365,0.100768806782019,0.00352943253966718,NaN,0.00106902858547872
40,0.01751253625852,0.0814895084660568,1.02823031147453,NaN,0.0548388735383189,NaN,0.0119304425850896,NaN
50,0.0135523871411861,0.0541325605890066,0.718258762174471,0.00448495741434063,0.0840376934218141,0.00323967736072592,0.0110083763086311,0.00085650118313273
60,0.0159453446818436,0.0470567620233853,0.934775871282317,0.00592190967492127,0.0627485364628878,0.00346009140129326,0.0163654733908384,0.00166194762575974
