t,RIIp_cAMP_C_2_Obs,RIIp_Rp_cAMPS_C_2_Obs,RIIp_2_Obs,pPDE_Obs,AC_Fsk_Obs
0,0.0143387982795256,0.0583813451310696,0.192357517773952,-0.0696287558679638,0.115269915137235
10,NaN,NaN,NaN,-0.0342874103181942,NaN
15,0.013218533971033,-0.0387051359893274,0.179917705813414,NaN,NaN
25,NaN,NaN,NaN,-0.0361322654172435,0.0516704373405417
30,0.0149250918564544,0.053453083203287,0.184231215179131,NaN,NaN
40,NaN,NaN,NaN,-0.196724613599046,NaN
45,NaN,0.00043791021596867,0.187597864218027,NaN,NaN
50,0.014531528275642,NaN,NaN,NaN,-0.067240508718374
55,NaN,NaN,NaN,0.0528835552157547,NaN
65,0.0113329748548256,0.0214418333820021,0.194574835588143,NaN,NaN
70,NaN,NaN,NaN,-0.0445752439018961,NaN
75,NaN,NaN,NaN,NaN,-0.0724466642648614
80,NaN,-0.0695109802588617,NaN,NaN,NaN
85,NaN,NaN,0.171901588733258,NaN,NaN
90,0.0147484200414332,NaN,NaN,-0.0488699330851104,NaN
100,0.0138600558445868,-0.0415188168695946,0.187509139369796,-0.0148090867188583,-0.0134045611327866
150,0.0143965915861602,0.0244675254948235,0.177744900786237,0.0173551094892656,-0.0382316462997838
200,0.0138804218891084,0.0454311136424524,NaN,NaN,-0.102874759534131
250,NaN,NaN,NaN,NaN,0.0904129248013355
350,NaN,NaN,NaN,NaN,0.00496827706563178
400,NaN,NaN,NaN,NaN,-0.034451944055624
