t,Csub_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs,AC_Fsk_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs
0,0.238826304284864,0.0132497936104237,0.246068680448587,0.124172389877377,-0.00455402526530293
0.3,NaN,NaN,NaN,-0.0780180009203251,NaN
0.6,NaN,NaN,NaN,0.0238706782020164,NaN
0.9,NaN,NaN,NaN,-0.0362199473985837,NaN
1,NaN,NaN,NaN,0.0343264155298244,NaN
1.5,NaN,NaN,NaN,0.0624179204664522,NaN
2,NaN,NaN,NaN,0.120036041914421,NaN
2.5,NaN,NaN,NaN,0.0863319291937614,NaN
3,NaN,NaN,NaN,-0.082039677752621,NaN
3.5,NaN,NaN,NaN,-0.0408109589007559,NaN
4,NaN,NaN,NaN,-0.00130421813105779,0.149408675712132
4.5,NaN,NaN,NaN,0.0803263321747088,NaN
5,NaN,0.00205608645461648,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.111508390652893,NaN
6,NaN,NaN,NaN,0.013402656593368,NaN
7,0.321528653529724,NaN,NaN,0.113493726405589,NaN
7.5,NaN,NaN,0.26543505682397,NaN,NaN
8,NaN,NaN,NaN,NaN,0.127565863503919
8.5,NaN,NaN,NaN,-0.00843320467010665,NaN
10,NaN,0.000960091072205141,NaN,0.0344958047753878,NaN
15,0.365130025922006,0.00053140950096099,0.33015395073124,-0.116201034237805,0.104918365372946
20,0.424412353384408,NaN,NaN,0.00251632781646673,NaN
25,NaN,0.000258042467472657,0.328459173690139,NaN,0.0878958864127883
30,0.407484410697502,0.000359692884801512,NaN,NaN,0.0970691047984027
35,NaN,NaN,0.342054503493581,NaN,0.0815442632773215
40,0.414427656770418,0.000445483655501432,NaN,NaN,NaN
45,NaN,NaN,0.367221280782317,NaN,0.0805752080329274
55,0.342885637463334,NaN,NaN,NaN,0.0877718570058581
60,NaN,NaN,0.34017542833719,NaN,NaN
65,0.363979062754621,NaN,NaN,NaN,0.0910246972550191
