t,Csub_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.234090202530017,0.00574996184000743,0.235795892280663,0.0533535204989833
3.5,NaN,0.165129418843589,NaN,0.560834545823219
6,0.334148900377738,NaN,0.304497944935508,NaN
7,NaN,NaN,NaN,0.570675787337257
7.5,NaN,0.119281311833854,NaN,NaN
10,0.378388422929081,0.114992717323057,0.294132981934508,0.474870921569709
15,NaN,0.0863274227689003,NaN,0.562180438560059
20,0.376822930024002,0.0859563069618222,0.355313436721294,0.580533555651411
25,0.404790378184899,0.0864479278553995,0.377572909657104,NaN
30,NaN,0.0719896928143949,NaN,0.578011497045807
35,0.393270719267503,0.087646668888606,0.303886503957452,NaN
45,0.391405780399988,0.085674788741878,0.321321645661306,NaN
55,0.421050853624973,0.0786752686500188,NaN,NaN
60,NaN,NaN,0.410208452292883,NaN
65,NaN,0.0829673796330724,NaN,NaN
