t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,pApoER2_re_Dab1_Obs
0,0.855483075632897,9.65453834013382e-05,0,0.0532183077142034,0.000951766538126093,0
9.5,NaN,7.82088180460001e-07,NaN,NaN,NaN,NaN
10,0.169414692326705,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,0.732951660376549,NaN,0.0142671620331402
20,NaN,8.64304313112689e-07,0.00127394268631097,NaN,NaN,NaN
25,0.0487289668822115,NaN,NaN,NaN,0.000254889412723313,NaN
30,NaN,7.1150998657367e-07,NaN,0.655821256579075,NaN,NaN
35,0.0301549574676597,NaN,NaN,NaN,NaN,0.0146312276027209
40,NaN,NaN,0.00102314564667056,NaN,NaN,NaN
45,NaN,4.82875283353794e-07,NaN,0.56781263713229,0.000530542974496589,NaN
50,0.0160357137580676,NaN,NaN,NaN,NaN,NaN
55,NaN,4.29535377831714e-07,NaN,NaN,NaN,0.00481039934629006
60,NaN,NaN,0.000995618747110272,NaN,NaN,NaN
65,0.0119077753164514,NaN,NaN,0.391810877517206,NaN,NaN
70,NaN,NaN,NaN,NaN,0.000911146347707728,NaN
75,NaN,3.60695386629475e-07,NaN,NaN,NaN,0.00303508780641433
85,0.00603277277750442,NaN,0.000705591199319375,0.287794574388094,NaN,NaN
95,NaN,2.15410264162975e-07,NaN,NaN,0.00109161042027341,0.00116534205801901
100,0.0037722170705245,NaN,0.000361751800029331,0.268906519701635,NaN,0.000759176517210247
150,NaN,NaN,0.000220434035146787,0.149518061581109,0.00105628185934385,0.000349507418443501
200,NaN,NaN,0.000155546511406363,0.119758852949131,0.00132992498426876,0.000204896068754883
250,NaN,NaN,0.000108922970257753,0.0649505829954676,0.00157209112104838,6.48307384112453e-05
300,NaN,NaN,0.000112683541716898,NaN,0.000836619595891725,NaN
350,NaN,NaN,NaN,NaN,0.00176077119010634,NaN
