t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,SFK_Obs,pApoER2_re_Dab1_Obs
0,0.788809601404886,7.00071343155782e-05,0,0.00148274547579969,0
20,NaN,3.86411532388745e-05,NaN,0.00061743779407287,NaN
25,0.89236184665413,NaN,0.000523690367361698,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00071769300726698
40,NaN,3.83446177551687e-05,NaN,0.000949999237730336,NaN
50,NaN,NaN,0.000550065695533696,NaN,NaN
55,0.584518915179939,NaN,NaN,NaN,NaN
60,NaN,4.26783203658352e-05,NaN,NaN,NaN
65,NaN,NaN,NaN,0.000678889297871932,0.000365005547000206
75,NaN,NaN,0.00037667977470818,NaN,NaN
80,0.480335038613202,NaN,NaN,NaN,NaN
85,NaN,2.87565915128285e-05,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00085213112276161,NaN
100,0.518146889693637,3.25015976798381e-05,0.000274712903656088,0.000956440240336192,0.000411396455329948
150,0.528938380828966,3.1138230624025e-05,0.000120545541825487,0.00133440319661727,0.000211266728931592
200,0.520480369094211,3.4905995657086e-05,0.000101698352519318,0.00112537568818467,7.90492067107912e-05
250,0.475837735488452,4.80317648032501e-05,4.46539846557034e-05,0.00150147745642769,NaN
300,NaN,3.21801469547061e-05,4.93018984251281e-05,0.00121373884852075,2.86507618405553e-05
350,0.517804109382048,4.72512040927893e-05,2.90305054682383e-05,0.00137133372170058,1.94443183642897e-05
400,0.58644823394317,NaN,1.26393375787815e-05,NaN,2.14629492572177e-05
450,NaN,4.91859340519115e-05,NaN,NaN,NaN
500,0.612141835684971,5.40264728202361e-05,NaN,NaN,9.98176752671709e-06
600,1.01362571327374,3.89097624027404e-05,NaN,NaN,2.6082754874985e-06
