t,ApoER2_Dab1_Obs,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs,SFK_Obs
0,0.933287942034087,4.12633666155033e-11,0,9.57177156079529e-07,8.22345377848393e-10
35,0.763885444290551,2.63094372657352e-14,3.41147217837873e-11,0.000219388451089219,6.16495264460456e-13
70,0.794103149468739,2.28897100383573e-14,NaN,0.000472690657514252,NaN
75,NaN,NaN,5.71690668556464e-11,NaN,8.93460467541116e-13
100,0.800301299479367,1.93409197561845e-14,4.36267655319048e-11,0.00069160365824247,7.45220687517565e-13
150,0.42646545425178,2.5754576684198e-14,3.44339487973758e-11,0.00075896835056425,1.29889545251989e-12
200,0.34767104588668,1.48705494739747e-14,NaN,0.000995437333857633,NaN
250,0.33608777782969,1.89702952564575e-14,3.5857655623765e-11,0.00093528150034026,9.72298698979493e-12
300,0.246242798971039,NaN,3.39907041024654e-11,0.00156984187679759,NaN
350,NaN,2.15263879829911e-14,NaN,NaN,NaN
400,0.279908734805702,NaN,5.31170987043499e-11,0.00211544505671669,3.83289296044326e-10
450,0.192369526153242,5.7691845375124e-14,NaN,NaN,NaN
500,NaN,NaN,4.24699725880116e-11,0.00106666158840287,NaN
600,0.183924930192863,NaN,NaN,0.00126927716051259,NaN
